Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (7),0.6779525,8,18,0,299.9739
Capsule (1),0.0122271,10,11,0,299.9739
Capsule,1.989653,15,8,1,299.9739
72


Capsule (2),0.0206785,15,12,1,299.7122
Capsule (6),0.0049577,10,10,1,299.7122
Capsule (5),0.05665511,10,11,0,299.7122
Capsule (3),3.550986,12,10,1,299.7122
Capsule (4),0.8066636,13,11,1,299.7122
Capsule (7),0.0066604,13,9,1,299.7122
Capsule (1),1.015424,16,9,1,299.7122
Capsule,1.72842,6,23,0,299.7122
73


Capsule (2),0.0134278,7,10,0,299.8131
Capsule (6),0.0364532,10,17,0,299.8131
