Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule (2),0.0189376,9,18,0,191.8759,0
Capsule (6),0.0028993,13,16,0,191.8759,0
Capsule,0.0085772,22,15,1,191.8759,0
Capsule (7),0.0040456,11,24,0,191.8759,0
Capsule (3),0.0092428,16,12,1,191.8759,1
Capsule (4),0.0068604,22,11,2,191.8759,1
Capsule (1),0.0104886,16,16,1,191.8759,1
Capsule (5),0.0081071,21,18,1,191.8759,1
45


Capsule (2),0.0037131,20,18,1,209.6422,0
Capsule (6),3.045067,18,20,0,209.6422,0
Capsule,0.0182886,12,22,0,209.6422,0
Capsule (7),0.015582,23,15,1,209.6422,0
Capsule (3),0.4916877,16,17,0,209.6422,1
Capsule (4),5.716989,27,12,2,209.6422,1
Capsule (1),0.0031107,14,24,0,209.6422,1
Capsule (5),1.732725,18,20,0,209.6422,1
46


Capsule (2),1.235986,23,13,1,158.8747,0
Capsule (6),0.0301379,17,19,0,158.8747,0
Capsule,1.050227,12,15,0,158.8747,0
Capsule (7),0.7928504,23,11,2,158.8747,0
Capsule (3),4.705282,15,18,0,158.8747,1
Capsule (4),1.615507,13,12,1,158.8747,1
Capsule (1),0.21454,13,16,0,158.8747,1
Capsule (5),2.880877,6,18,0,158.8747,1
47


Capsule (2),0.4998568,19,16,1,191.5922,0
Capsule (6),1.084929,18,20,0,191.5922,0
Capsule,0.1453599,15,25,0,191.5922,0
Capsule (7),2.617792,23,15,1,191.5922,0
Capsule (3),0.0351336,18,15,1,191.5922,1
Capsule (4),0.05923,18,17,1,191.5922,1
Capsule (1),1.973135,13,18,0,191.5922,1
Capsule (5),0.0073096,21,19,1,191.5922,1
48


Capsule (2),2.23607,10,21,0,179.1285,0
Capsule (6),0.0176479,21,17,1,179.1285,0
Capsule,1.566809,16,18,0,179.1285,0
Capsule (7),0.0134488,16,15,1,179.1285,0
Capsule (3),0.09844349,16,17,0,179.1285,1
Capsule (4),0.0045425,17,14,1,179.1285,1
Capsule (1),0.853561,23,19,1,179.1285,1
Capsule (5),1.63485,19,17,1,179.1285,1
49


Capsule (2),0.0245621,12,18,0,187.0681,0
Capsule (6),0.08042261,17,14,1,187.0681,0
Capsule,0.1190419,15,19,0,187.0681,0
Capsule (7),2.656823,17,17,1,187.0681,0
Capsule (3),1.079094,21,15,1,187.0681,1
Capsule (4),1.146704,18,15,1,187.0681,1
Capsule (1),0.0029711,18,21,0,187.0681,1
Capsule (5),0.0859847,18,17,1,187.0681,1
50


Capsule (2),1.425133,18,14,1,208.1834,0
Capsule (6),0.4815508,17,21,0,208.1834,0
Capsule,3.519032,18,16,1,208.1834,0
Capsule (7),0.2171931,19,17,1,208.1834,0
Capsule (3),0.198059,22,20,1,208.1834,1
Capsule (4),1.403085,23,23,1,208.1834,1
Capsule (1),0.4025947,11,18,0,208.1834,1
Capsule (5),1.319726,19,18,1,208.1834,1
51


Capsule (2),3.116521,13,11,1,190.6206,0
Capsule (6),0.004579,19,19,1,190.6206,0
Capsule,0.0043989,18,20,0,190.6206,0
Capsule (7),2.752209,22,15,1,190.6206,0
Capsule (3),0.0041413,18,19,0,190.6206,1
Capsule (4),0.6812444,13,25,0,190.6206,1
Capsule (1),0.0061183,16,19,0,190.6206,1
Capsule (5),1.458969,28,19,1,190.6206,1
52


Capsule (2),2.682962,18,21,0,187.1561,0
Capsule (6),2.223102,18,15,1,187.1561,0
Capsule,0.6098431,15,20,0,187.1561,0
Capsule (7),0.012233,16,16,1,187.1561,0
Capsule (3),0.4111061,15,17,0,187.1561,1
Capsule (4),0.003895,27,14,1,187.1561,1
Capsule (1),0.0091253,11,21,0,187.1561,1
Capsule (5),5.318836,22,18,1,187.1561,1
53


Capsule (2),0.065148,10,19,0,205.3714,0
Capsule (6),0.5892003,16,20,0,205.3714,0
Capsule,3.806344,15,14,1,205.3714,0
Capsule (7),0.2939214,15,16,0,205.3714,0
Capsule (3),1.704654,25,14,1,205.3714,1
Capsule (4),0.770879,15,18,0,205.3714,1
Capsule (1),2.507474,21,13,1,205.3714,1
Capsule (5),0.1024723,14,17,0,205.3714,1
54


Capsule (2),0.3351125,18,17,1,191.4426,0
Capsule (6),0.2917241,20,20,1,191.4426,0
Capsule,2.100869,15,22,0,191.4426,0
Capsule (7),0.5899483,22,9,2,191.4426,0
Capsule (3),0.824676,13,14,0,191.4426,1
Capsule (4),1.334463,14,16,0,191.4426,1
Capsule (1),1.414258,17,14,1,191.4426,1
Capsule (5),0.2954568,11,18,0,191.4426,1
55


Capsule (2),0.3358696,21,20,1,236.5509,0
Capsule (6),1.150628,27,12,2,236.5509,0
Capsule,0.0351836,12,16,0,236.5509,0
Capsule (7),3.284311,15,16,0,236.5509,0
Capsule (3),0.1599857,18,24,0,236.5509,1
Capsule (4),0.073638,15,21,0,236.5509,1
Capsule (1),0.0955429,13,17,0,236.5509,1
