Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule,0.0031813,13,16,0,176.3604,1
Capsule (4),1.826134,24,14,1,176.3604,1
45


Capsule (7),0.0355089,18,8,2,155.1011,0
Capsule (3),1.842166,24,14,1,155.1011,0
Capsule (1),0.0030715,15,16,0,155.1011,0
Capsule (2),0.0028365,18,17,1,155.1011,0
Capsule (5),0.0492461,11,17,0,155.1011,1
Capsule (6),2.102168,14,18,0,155.1011,1
Capsule,0.1000436,11,18,0,155.1011,1
Capsule (4),6.27536,18,21,0,155.1011,1
46


Capsule (7),0.0030104,27,21,1,187.3922,0
Capsule (3),1.791079,22,20,1,187.3922,0
Capsule (1),0.4900191,12,16,0,187.3922,0
Capsule (2),0.0058846,13,18,0,187.3922,0
Capsule (5),0.0035268,16,19,0,187.3922,1
Capsule (6),7.499193,21,18,1,187.3922,1
Capsule,0.0132885,22,16,1,187.3922,1
Capsule (4),2.924013,16,21,0,187.3922,1
47


Capsule (7),0.8339989,13,21,0,194.1689,0
Capsule (3),0.0088976,20,13,1,194.1689,0
Capsule (1),0.2198736,25,16,1,194.1689,0
Capsule (2),0.2069367,17,15,1,194.1689,0
Capsule (5),0.2089432,18,14,1,194.1689,1
Capsule (6),0.021574,11,19,0,194.1689,1
Capsule,0.0058365,10,16,0,194.1689,1
Capsule (4),0.0150485,16,16,1,194.1689,1
48


Capsule (7),0.0050077,10,21,0,173.2747,0
Capsule (3),0.0258732,20,15,1,173.2747,0
Capsule (1),1.819023,22,16,1,173.2747,0
Capsule (2),1.849693,23,15,1,173.2747,0
Capsule (5),0.0118172,14,19,0,173.2747,1
Capsule (6),0.0040283,13,20,0,173.2747,1
Capsule,3.24016,18,14,1,173.2747,1
Capsule (4),1.617407,15,15,1,173.2747,1
49


Capsule (7),0.1959489,25,15,1,177.5467,0
Capsule (3),1.027145,13,17,0,177.5467,0
Capsule (1),0.88041,16,13,1,177.5467,0
Capsule (2),0.8314902,21,19,1,177.5467,0
Capsule (5),0.0269236,28,11,2,177.5467,1
Capsule (6),0.0054712,6,20,0,177.5467,1
Capsule,0.004876,4,16,0,177.5467,1
Capsule (4),2.040169,17,19,0,177.5467,1
50


Capsule (7),2.066726,16,17,0,184.5439,0
Capsule (3),1.33164,24,15,1,184.5439,0
Capsule (1),0.0037169,9,22,0,184.5439,0
Capsule (2),0.2203635,16,19,0,184.5439,0
Capsule (5),0.0158417,19,18,1,184.5439,1
Capsule (6),1.510373,22,19,1,184.5439,1
Capsule,0.0062598,15,16,0,184.5439,1
Capsule (4),0.2177372,19,14,1,184.5439,1
51


Capsule (7),1.40447,14,14,1,163.879,0
Capsule (3),0.0130818,19,16,1,163.879,0
Capsule (1),5.122356,19,12,1,163.879,0
Capsule (2),0.0202138,23,12,1,163.879,0
Capsule (5),0.9034763,15,21,0,163.879,1
Capsule (6),0.0183952,12,17,0,163.879,1
Capsule,1.996979,14,17,0,163.879,1
Capsule (4),0.8361027,12,19,0,163.879,1
52


Capsule (7),0.018229,18,16,1,204.0406,0
Capsule (3),0.0112125,24,14,1,204.0406,0
Capsule (1),0.6567764,22,21,1,204.0406,0
Capsule (2),0.0032991,11,25,0,204.0406,0
Capsule (5),3.176827,14,20,0,204.0406,1
Capsule (6),0.2145065,19,18,1,204.0406,1
Capsule,0.0231112,24,18,1,204.0406,1
Capsule (4),4.841373,17,17,1,204.0406,1
53


Capsule (7),0.0040869,18,22,0,207.4178,0
Capsule (3),1.2104,20,16,1,207.4178,0
Capsule (1),1.537469,25,18,1,207.4178,0
Capsule (2),0.6630335,8,24,0,207.4178,0
Capsule (5),1.350071,15,18,0,207.4178,1
Capsule (6),0.0034209,30,15,2,207.4178,1
Capsule,2.548209,14,19,0,207.4178,1
Capsule (4),0.0096198,16,14,1,207.4178,1
54


Capsule (7),0.0027711,16,20,0,200.8597,0
Capsule (3),1.157689,14,20,0,200.8597,0
Capsule (1),0.2125322,19,18,1,200.8597,0
Capsule (2),1.01708,25,13,1,200.8597,0
Capsule (5),0.0022776,24,14,1,200.8597,1
Capsule (6),0.0143116,17,25,0,200.8597,1
Capsule,0.3851034,18,21,0,200.8597,1
Capsule (4),0.0101744,16,18,0,200.8597,1
55


Capsule (7),1.194376,20,17,1,181.4222,0
Capsule (3),1.211313,18,15,1,181.4222,0
Capsule (1),1.961351,12,18,0,181.4222,0
Capsule (2),0.215466,16,21,0,181.4222,0
