Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (7),0.2177313,35,25,1,244.1695
Capsule,0.0072177,15,24,0,244.1695
Capsule (4),3.036332,19,22,0,244.1695
Capsule (2),0.2039758,25,26,0,244.1695
Capsule (3),0.0049001,12,17,0,244.1695
Capsule (1),0.8258151,30,21,1,244.1695
Capsule (5),0.2175954,24,22,1,244.1695
56,,,,,
,,,,,
,,,,,
Capsule (6),0.0040912,35,26,1,292.9703
Capsule (7),1.079254,27,27,1,292.9703
Capsule,1.681135,29,31,0,292.9703
Capsule (4),0.0038433,34,31,1,292.9703
Capsule (2),0.392948,25,26,0,292.9703
Capsule (3),1.644555,26,29,0,292.9703
Capsule (1),0.0052182,29,38,0,292.9703
Capsule (5),0.3539012,25,22,1,292.9703
57,,,,,
,,,,,
,,,,,
Capsule (6),1.810361,25,28,0,293.8657
Capsule (7),0.7990383,34,27,1,293.8657
Capsule,2.455966,21,37,0,293.8657
Capsule (4),2.245789,29,20,1,293.8657
Capsule (2),0.0051199,35,22,1,293.8657
Capsule (3),0.1770531,27,28,0,293.8657
Capsule (1),1.243371,19,29,0,293.8657
Capsule (5),0.0058991,29,28,1,293.8657
58,,,,,
,,,,,
,,,,,
Capsule (6),1.891747,25,24,1,257.325
Capsule (7),0.0102614,24,25,0,257.325
Capsule,0.2204404,34,26,1,257.325
Capsule (4),0.027217,20,23,0,257.325
Capsule (2),2.958087,28,25,1,257.325
Capsule (3),0.2199423,35,28,1,257.325
Capsule (1),0.9296685,17,31,0,257.325
Capsule (5),0.6841127,22,23,0,257.325
59,,,,,
,,,,,
,,,,,
Capsule (6),0.7797987,20,24,0,299.9824
Capsule (7),0.0093557,27,28,0,299.9824
Capsule,0.008651,26,23,1,299.9824
Capsule (4),0.0142849,33,26,1,299.9824
Capsule (2),5.257802,26,31,0,299.9824
Capsule (3),0.0061153,28,27,1,299.9824
Capsule (1),0.2706845,27,27,1,299.9824
Capsule (5),0.0085725,30,31,0,299.9824
60,,,,,
